title,year,description,rank,min_player,max_player,min_time,max_time,avg_rating,num_rating,std_dev_rating,weight,num_comment,num_fan,num_view,total_play,month_play,num_own,num_wish,min_age
Smash Up: Science Fiction Double Feature,2014,Standalone set themed around classic Mad Science.,846,2,2,30,45,7.264,3883,1.32,2.29,497,108,113441,2529,0,12197,630,12
Tragedy Looper,2011,Players live; die; and repeat in order to outwit and defeat the evil Mastermind.,847,2,4,120,120,7.179,4273,1.56,3.53,1033,262,518215,7553,4,8559,1471,13
The Great Wall,2021,Control medieval Clans in China trying to resist invading Mongol hordes.,848,1,4,120,180,7.904,1917,1.6,3.74,574,442,544851,4003,17,4317,1650,13
Britannia,1986,Control multiple nations in conflicts that span a millennium of British history.,849,3,5,180,300,7.2,4154,1.5,3.16,1528,231,556620,5040,0,5933,704,12
The Others,2016,Faith is pitted against the sins as the Apocalypse arrives.,850,2,5,90,90,7.343,3693,1.59,3.02,880,616,894864,6259,0,7928,1713,14
Age of Industry,2010,,851,2,5,120,120,7.358,2921,1.36,3.37,941,112,422799,6930,0,3370,805,13
Ascension: Storm of Souls,2011,Events and fanatics uproot the Ascension universe.,852,1,4,30,30,7.29,3499,1.32,2.33,669,169,168028,27450,13,5456,371,13
Call to Adventure,2019,Hero or Foe? You decide in this tile chucking; character building game.,853,1,4,30,60,7.161,4893,1.42,2.01,1004,444,481138,13088,8,9671,1835,13
MicroMacro: Crime City – Full House,2021,Find the small traces to solve the big cases.,854,1,4,15,45,7.823,1762,1.17,1.22,277,86,81305,12292,67,7162,741,10
Zooloretto,2007,Add to or take an animal collection? Build the best zoo and fill those pens.,855,2,5,45,45,6.818,14582,1.17,1.86,3571,263,684486,43953,7,18440,1608,8
Last Bastion,2019,Work together and defend your last outpost against invading hordes of monsters.,856,1,4,45,45,7.544,2536,1.29,2.57,411,175,270455,9453,9,4763,1464,14
Tiny Epic Quest,2017,Push your luck to fight goblins; explore temples; and learn spells.,857,1,4,30,60,7.007,6855,1.33,2.66,1529,807,600464,13799,3,17804,1893,14
Attika,2003,Construct your classical Greek city using resources on the board and cards.,858,2,4,45,60,6.992,6449,1.25,2.37,2199,95,425997,23336,1,5972,966,10
Dungeons & Dragons: Castle Ravenloft Board Game,2010,The master of Ravenloft is having guests for dinner – and you are invited!,859,1,5,60,60,6.98,8874,1.44,2.51,2157,1198,1382611,21348,3,15968,2128,12
Hawaii,2011,Chieftains build huts; plant fruits; dance and surf on a sunny island.,860,2,5,90,90,7.129,4380,1.3,2.9,972,159,337918,14255,3,4546,913,13
Zombicide: 2nd Edition,2021,The ultimate zombie game made reality. Don't get surrounded!,861,1,6,60,60,8.094,1803,1.43,2.49,384,356,392078,7222,23,5597,925,14
Werewords,2017,20 questions with a twist... a time limit and a sneaky werewolf who knows the answer!,862,4,10,10,10,7.142,4272,1.45,1.15,785,91,230278,48882,7,7390,805,8
Disney Villainous: Perfectly Wretched,2020,The cruelest of them all have come to conquer the spotlight.,863,2,3,40,60,7.765,2182,1.21,2.31,322,144,116811,1438,2,9467,893,10
Concept,2013,Select icons to help your team guess a secret word or phrase.,864,4,12,40,40,6.793,17665,1.38,1.39,2724,327,553305,45214,18,28025,2439,10
Nightmare Productions,2000,Bid contracts to produce golden age blockbusters with the best directors and stars..,865,2,5,60,60,7.043,5263,1.23,2.11,1970,96,430930,11873,1,5700,1094,10
Raccoon Tycoon,2018,Build railroads; towns and goods to become the most prodigious critter in Astoria.,866,2,5,60,90,7.34,3125,1.32,2.07,667,238,305072,7674,5,5757,1243,8
The Castles of Burgundy: The Card Game,2016,Watch your estate grow as you settle; build; mine; and trade in the Loire Valley.,867,1,4,30,60,6.978,6380,1.28,2.57,1447,184,438873,22848,13,12729,848,12
Legacy: The Testament of Duke de Crecy,2013,Build the most powerful and influential family tree in 18th century France.,868,1,4,60,60,7.143,4207,1.25,2.71,976,199,336919,10321,7,5423,957,8
Fabled Fruit,2016,Collect fruit and craft delicious juices while your action options change and shift.,869,2,5,20,30,7.008,5646,1.22,1.6,1092,154,348922,43855,14,8461,1292,8
Meeple Circus,2017,Build your growing circus act of comically tiny acrobats; animals; and props.,870,2,5,45,45,7.075,5076,1.31,1.45,787,143,274914,15998,7,8116,1466,8
Snow Tails,2008,Race your dogsled in the icy tracks; managing the bends and slippery grips.,871,2,5,45,60,6.969,6254,1.18,2.04,1629,178,420280,15565,2,6589,1637,10
Nemesis: Lockdown,2022,Survive an alien-infested lab on Mars but beware of other players and their agendas.,872,1,5,90,180,8.539,1294,1.49,3.74,528,439,405965,2207,8,5685,1092,12
Luxor,2018,It's a race to the tomb as you control a team of loot grabbing archaeologists!,873,2,4,45,45,7.201,3907,1.24,1.91,700,126,278343,23352,32,5242,1026,8
5-Minute Dungeon,2017,Explore a dungeon; kill monsters; and defeat a boss...all in 5 minutes!,874,2,5,5,30,6.977,8181,1.37,1.12,1612,378,478907,40505,15,15369,1819,8
Detective Club,2018,Come up with an explanation for your surreal cards to hide your secret role.,875,4,8,45,45,7.405,2819,1.26,1.24,542,121,266439,7232,15,5110,1777,8
Lovecraft Letter,2017,Confront eldritch lore: win by staying sane or triumph through madness!,876,2,6,5,15,7.224,3752,1.39,1.44,628,130,197075,20598,17,7052,804,10
Flick 'em Up!,2015,Show those outlaws who has the fastest flick in the West!,877,2,10,30,45,6.896,8478,1.26,1.33,1686,270,569160,15247,1,15431,2612,7
Istanbul: The Dice Game,2017,Roll worker dice to collect and trade resources to acquire shiny rubies!,878,2,4,20,40,7.169,3982,1.16,1.76,666,105,186629,21845,15,6406,694,8
DinoGenics,2019,Build and manage your own dinosaur island resort.,879,1,5,90,120,7.661,2097,1.42,2.9,517,407,322241,6823,6,3647,1424,14
The Grimm Forest,2018,Build houses of straw; wood and brick while avoiding villains like the Big Bad Wolf.,880,2,4,45,60,7.111,5263,1.4,1.92,1054,513,452089,11794,10,10190,1790,14
Qwirkle,2006,Complete a set of shapes or colors among the criss-crossing tiles for big points!,881,2,4,45,45,6.777,17966,1.24,1.62,3673,408,776897,75366,40,32798,1551,6
Zombicide: Invader,2019,Guide survivors to complete their objectives while defending against waves of aliens.,882,1,6,60,60,7.835,2097,1.51,2.4,486,425,426570,6404,2,5490,697,14
DC Comics Deck-Building Game,2012,Build a powerful deck to thwart super-villains in defense of the DC universe.,883,2,5,45,45,7.037,6881,1.5,2.0,1360,625,637923,33143,12,11074,798,15
Coffee Roaster,2015,Brew the richest blends and score high in this solo puzzle.,884,1,1,10,30,7.42,2559,1.22,2.13,643,222,323322,14083,12,5105,1986,12
Tak,2017,Be first to build a complete road using tiles that can stack or stand on edge.,885,2,2,20,60,7.599,2455,1.45,2.49,656,203,307858,16424,34,4807,1570,12
Kingsburg (Second Edition),2017,Influence members of the King's court to grow your province and prepare for battle.,886,2,5,90,120,7.451,2504,1.19,2.45,418,113,233314,5032,6,4605,1098,10
Gold West,2015,The ecstasy of gold lures you to create the most prosperous mining empire.,887,2,4,45,60,7.327,2830,1.14,2.46,613,134,242508,8128,4,3326,1098,13
Antike,2005,Historical empires develop and confront each other to dominate the ancient world.,888,2,6,120,120,7.089,4658,1.35,3.0,1543,129,426258,7718,0,3818,960,12
The City of Kings,2018,Explore the land! Improve your skills! Battle dynamic monsters to protect the City!,889,1,4,45,180,7.626,2340,1.61,3.18,606,651,735719,9698,4,4625,2091,14
Roam,2019,Seek out and awaken the sleepwalking residents of Arzium.,890,2,4,30,45,7.356,2864,1.11,1.81,552,213,185211,11447,24,5581,975,8
Lowlands,2018,Breed sheep for yourself? Or contribute to the group's safety by building the dike?,891,2,4,50,100,7.416,2582,1.23,3.09,515,110,294047,5343,3,4337,1699,12
Marvel United: X-Men,2021,Co-operate as Marvel Heroes to stop the Villains' master plans!,892,1,5,40,40,8.291,1334,1.2,2.05,346,233,261319,6488,64,5076,280,14
Condottiere,1995,Manage and deploy your mercenaries to the right province to take control over Italy!,893,2,6,45,45,6.863,9369,1.34,1.96,2575,271,629395,21463,18,12128,1803,14
Santa Monica,2020,Build a beach community in Southern California with tourists; locals; and fun shops.,894,2,4,35,40,7.302,3045,1.12,2.16,530,175,243050,9571,30,5559,1565,14
Babylonia,2019,Compete for the land and cities between the rivers while commanding mighty ziggurats.,895,2,4,60,60,7.688,1844,1.27,2.4,487,131,253027,6496,14,2563,1540,14
The Speicherstadt,2010,Collect goods; trade with merchants and put out fires in Hamburg.,896,2,5,45,45,7.035,4947,1.23,2.27,1230,170,324064,14858,0,4855,671,8
Discoveries: The Journals of Lewis & Clark,2015,Draft dice to record your discoveries & befriend tribes as you journey westward.,897,2,4,60,60,7.053,4715,1.16,2.36,970,163,331494,13206,5,6845,935,14
Unmatched: Little Red Riding Hood vs. Beowulf,2020,She survived the Big Bad Wolf. Can Little Red defeat Beowulf?,898,2,2,20,20,8.353,1260,1.1,1.93,175,94,68740,1353,5,4366,485,9
La Città,2000,Attract citizens to your cities; but don't forget you have to feed them!,899,2,5,120,120,7.025,5174,1.29,3.27,1689,70,355711,5753,1,6675,731,12
Ascension: Return of the Fallen,2011,Tempt fate and expand Ascension with new heroes; constructs; and monsters.,900,1,2,30,30,7.283,3257,1.29,2.16,661,139,157094,26737,3,5273,327,13
Circadians: First Light,2019,Open negotiations and build coalitions with new species in space.,901,1,4,60,90,7.614,2053,1.21,3.46,502,189,264958,5752,7,3679,1386,12
Unmatched: Jurassic Park – InGen vs Raptors,2020,Hold onto your butts; it's dinos vs. the world's greatest hunter.,902,2,2,20,40,8.189,1377,1.19,1.89,202,119,133453,1545,2,3753,875,14
Planet Unknown,2022,Develop and colonize your planet with oddly shaped tiles served on a rotating tray.,903,1,6,60,80,7.975,1500,1.1,2.28,422,254,230177,6636,38,2712,1917,10
Star Trek: Frontiers,2016,Starship Captains compete to explore and conquer an unknown part of the universe.,904,1,4,60,240,7.851,1724,1.47,4.31,526,393,667434,3496,1,4408,1857,14
Clinic: Deluxe Edition,2019,Treat patients for profit to build the city's most lucrative clinic.,905,1,4,60,150,7.696,1906,1.32,4.06,435,219,295029,4884,7,5241,890,14
SCOUT,2019,Poach your opponents artists and outdo each other's circus shows.,906,2,5,15,15,7.697,1833,1.13,1.32,364,101,155324,10847,144,3113,1460,9
Ohanami,2019,Build the most Zen Japanese garden by collecting cards of just the right value.,907,2,4,20,20,7.34,2755,1.11,1.14,461,117,142831,17726,56,5492,898,8
History of the World,1991,Build History by expanding 7 Civilizations: who will Dominate the World?,908,3,6,135,270,7.113,4477,1.52,2.77,1603,188,472116,5991,3,5598,575,12
Mint Works,2017,Build a mint manufacturing plant in this portable introduction to worker placement.,909,1,4,10,20,6.981,5903,1.22,1.7,1362,300,336966,31892,7,12266,1175,13
Automobiles,2016,Customize the best race car to win the race in this deck building game.,910,2,5,45,75,7.235,3166,1.22,2.19,707,119,224846,17049,20,2968,988,10
Herbaceous,2017,Relax as you collect and plant an assortment of flavorful herbs in your garden.,911,1,4,15,20,7.076,4645,1.14,1.21,1080,260,271111,35982,20,8783,1457,8
Mr. Jack Pocket,2010,Can Mr Jack outsmart Holmes and Watson by hiding long enough?,912,2,2,15,15,6.867,8214,1.21,1.83,1618,197,339361,27935,4,13630,942,14
Legendary Encounters: A Predator Deck Building Game,2015,Deckbuild to survive the Predator as humans or to gain the most honor as Yautja.,913,1,5,45,45,7.43,2593,1.34,2.68,503,241,272936,6384,0,5555,770,17
Marvel Dice Masters: Uncanny X-Men,2014,Wolverine; Magneto; Cyclops; Iceman; & more face off in dice battles.,914,2,2,60,60,7.174,3784,1.4,2.37,688,250,244294,12680,0,8012,238,14
Star Wars: The Queen's Gambit,2000,Recreate the climactic scenes from Star Wars: Episode I - The Phantom Menace.,915,2,4,120,120,7.55,2183,1.48,2.48,833,153,407121,3616,0,2540,1505,12
Manila,2005,Place your bets on this roulette wheel of arriving boats; goods; and even pirates!,916,3,5,60,60,6.981,5818,1.27,2.03,1481,154,377119,13065,2,6112,1085,10
Caylus 1303,2019,Quarrel over action spaces (and player powers) to be the finest builder in the land!,917,2,5,60,90,7.524,2216,1.31,2.91,433,94,252607,4369,3,4237,1121,12
Warp's Edge,2020,You are alone: power up your ship to fight against a swarm of enemies.,918,1,1,30,45,7.818,1681,1.17,2.42,405,227,215694,8390,18,4296,1315,10
Cat Lady,2017,Collect food; toys; and even costumes to please your growing family of cats.,919,2,4,15,30,7.062,4833,1.17,1.42,984,182,258492,25635,28,8233,1124,8
Railroad Revolution,2016,Grow your railroad company to become the greatest tycoon of 19th century America.,920,2,4,45,90,7.35,2657,1.25,3.25,564,103,303003,6455,4,4075,707,12
The Adventures of Robin Hood,2021,Take on the role of Robin Hood in a cooperative game that changes while you play.,921,2,4,60,60,7.699,1926,1.27,1.83,366,229,294321,9943,37,5248,2094,10
Merchant of Venus (Second Edition),2012,Explore the galaxy; discover new alien civilizations; and deliver needed goods.,922,1,4,120,240,7.153,3744,1.47,3.01,1050,258,480466,6571,0,6676,1702,14
Majesty: For the Realm,2017,Collect citizens to work in your village as you build a realm to rival all others!,923,2,4,20,40,6.962,5849,1.14,1.73,914,166,309620,28158,9,7481,1130,7
Valley of the Kings,2014,Prove your worth to the gods by being entombed with the most possessions.,924,2,4,45,45,7.033,4582,1.19,2.19,1045,157,339158,12415,2,7036,1109,14
Railroad Ink Challenge: Lush Green Edition,2021,Build a network of roads and rails in a lush landscape.,925,1,4,15,30,7.78,1675,1.15,2.1,313,361,98946,10378,51,5624,610,8
Polis: Fight for the Hegemony,2012,Sparta and Athens fight to build rival civilizations among ancient Greek city-states.,926,2,2,90,120,7.531,2279,1.6,3.68,726,277,484180,5493,0,3236,896,12
Empires of the Void II,2018,Use diplomacy; invasion; or both to interact with story-filled alien planets.,927,2,5,90,180,7.509,2248,1.35,3.48,682,364,436836,4015,1,4888,1597,13
Zombicide Season 3: Rue Morgue,2015,,928,1,12,60,60,7.525,2627,1.47,2.49,415,284,250914,3811,1,7193,577,14
World's Fair 1893,2016,Be the leading exhibitor at the famous fair when the big wheel finally stops.,929,2,4,35,45,7.172,3604,1.16,2.0,828,279,255726,10693,7,6015,952,10
Black Sonata,2017,Search London to deduce the identity of a mysterious Shakespearean lady.,930,1,1,30,30,7.503,2317,1.26,2.08,740,313,260494,9553,13,5837,1199,12
Space Hulk (Fourth Edition),2014,Elite space marines face an onslaught of alien horror aboard an abandoned spaceship.,931,2,2,60,60,7.946,1709,1.46,2.71,419,284,378153,2419,0,4353,678,12
Riverboat,2017,Plant and cultivate crops to send down the Mississippi to build your empire.,932,2,4,90,90,7.456,2329,1.1,2.9,434,103,230618,5844,5,3918,684,10
Cottage Garden,2016,Select and plant polyomino flower tiles to complete your beds and earn points.,933,1,4,60,60,6.875,7832,1.2,1.9,1494,239,569801,25794,10,11705,2075,8
Black Fleet,2014,Lead a fleet of ships; collect doubloons; pay the ransom for the governor's daughter.,934,3,4,60,60,7.004,5258,1.24,1.95,1220,246,470476,10019,4,8073,1533,14
Smash Up: Pretty Pretty Smash Up,2015,Battling just got cuter with Princesses; Kitty Cats; Fairies; and Mythical Horses!,935,2,2,45,45,7.245,3413,1.34,2.14,481,68,84157,2100,0,11424,437,14
7 Wonders: Architects,2021,Race against others to assemble your wonder; but speed won't guarantee victory.,936,2,7,25,25,7.056,4658,1.5,1.38,785,188,232713,43324,234,6331,1656,8
A War of Whispers,2019,Manipulate empires from the shadows as you outwit and outmaneuver the competition!,937,2,4,30,60,7.393,2622,1.35,2.57,538,255,397750,4734,11,4535,2528,14
Winner's Circle,2001,Bet on 7 different horses over 3 races to see who can make the most cash.,938,2,6,45,60,6.984,5343,1.23,1.61,1809,102,394297,14451,1,5298,1185,10
Firenze,2010,Battle to create the most magnificent towers in Renaissance Florence.,939,2,4,60,60,7.246,3032,1.18,2.55,728,104,291855,9550,1,3593,1095,12
Rivals for Catan,2010,Duel to build the best kingdom in different eras of Catan.,940,2,2,45,120,6.954,6701,1.4,2.32,1332,292,469062,14519,8,15154,898,10
A Distant Plain,2013,Counter-insurgency Afghanistan: Government; Coalition; Taliban and Warlords compete.,941,1,4,180,300,7.844,1646,1.38,3.84,567,244,475852,2631,2,4283,1238,12
Maquis,2013,Avoid patrols to complete missions vs. the Nazis in this solo worker-placement game.,942,1,1,30,30,7.44,2421,1.21,2.18,839,367,386204,14813,45,5738,1282,14
Islebound,2016,Collect treasure; hire crew; and conquer or befriend the archipelago's island towns.,943,2,4,60,120,7.18,3406,1.22,2.72,784,255,388442,6318,1,6409,1782,13
Fields of Green,2016,You own a modern-day farm...which buildings; crops; and livestock will you choose?,944,2,4,45,45,7.153,3569,1.2,2.66,848,186,348244,9515,6,5909,939,12
"Warhammer 40,000: Conquest",2014,Take the part of a warlord; leading glorious armies in a two-player Living Card Game.,945,2,2,30,60,7.363,3054,1.53,3.04,637,402,564252,13323,4,5734,466,14
Wiz-War (Eighth Edition),2012,Duel for your life in an ever-changing labyrinth as you race to capture treasure.,946,2,4,30,60,7.051,4841,1.44,2.32,1076,347,506534,11374,7,7133,1490,14
Wildlands,2018,Lead your faction to take out rivals and collect magic crystals in this arena battler,947,2,4,30,60,7.298,3005,1.35,2.12,655,249,540813,8940,3,4536,1876,14
Dinosaur Island: Rawr 'n Write,2021,Draw the most exciting dinosaur theme park known to humankind.,948,1,4,30,45,7.857,1633,1.18,2.81,399,132,122653,6275,59,5036,885,10
Ticket to Ride: New York,2018,Catch a cab across Manhattan when low on time with this 15 minute express version.,949,2,4,10,15,6.965,5784,1.16,1.24,984,128,197928,26358,18,12573,544,8
Tidal Blades: Heroes of the Reef,2020,Join a tournament to become a Tidal Blade; guardian of the island realm.,950,1,4,60,90,7.645,2113,1.47,2.87,579,703,406127,4858,9,5005,1815,14
CO₂,2012,Travel back to the 70s to invest in green power plants and stop global warming!,951,1,5,120,120,7.122,3807,1.49,3.88,969,255,592809,7123,1,4247,1516,12
Abomination: The Heir of Frankenstein,2019,Bring your monster to life by collecting body parts in 19th century Paris.,952,2,4,90,180,7.495,2347,1.43,3.25,549,242,323310,4374,0,5233,1349,13
A Study in Emerald,2013,Compete in hidden teams to either remove; or protect; the Cthulhu hegemony .,953,2,5,90,90,7.194,3271,1.62,3.45,821,318,577759,8233,1,3451,1552,13
Nations: The Dice Game,2014,Use your dice to build the best civilization; by getting leaders; wonders; colonies.,954,1,4,20,40,6.961,5337,1.25,2.0,1077,165,373346,30258,5,5713,1227,14
"Time of Crisis: The Roman Empire in Turmoil, 235-284 AD",2017,Roman politicians try to take advantage of barbarians invading the Empire.,955,2,4,120,180,7.62,1968,1.32,3.02,524,168,387389,4473,4,3195,932,14
Dominant Species: Marine,2021,Dominate your aquatic foes or you’ll be swimming with the fishes.,956,2,4,90,150,8.102,1302,1.38,3.88,333,196,267935,2670,3,2777,1519,14
"Hey, That's My Fish!",2003,Quest for the most fish; but don't get stranded as ice disappears beneath your feet.,957,2,4,20,20,6.695,20488,1.12,1.45,5222,347,708864,87829,21,26487,1685,8
Irish Gauge,2014,Compete and cooperate to build railways across Ireland!,958,3,5,60,60,7.296,2717,1.23,2.36,604,132,283684,7403,5,4489,1046,12
Rex: Final Days of an Empire,2012,In the final days of the Empire; players struggle for control of Mecatol City.,959,3,6,120,180,7.072,4367,1.53,3.28,1057,361,669814,5019,0,7489,1811,14
Falling Sky: The Gallic Revolt Against Caesar,2016,Romans; Germans; Celts & Belgic tribes vie for Gaul; driven by historic events.,960,1,4,180,360,7.859,1622,1.36,3.99,501,219,502607,3087,2,4293,1182,14
ICECOOL,2016,Flick high school penguins to catch fish without getting caught by the hall monitor.,961,2,4,30,30,6.805,9810,1.26,1.04,1706,262,353560,39506,9,16182,1671,6
Merchants Cove,2021,Operate your own specialty goods shop with a unique set of components and mechanisms.,962,1,4,60,90,7.632,2011,1.43,2.73,531,365,422595,5992,11,5074,2649,14
Dice Town,2009,Make the best hand of poker dice. A little money may improve your chances.,963,2,5,45,45,6.863,7234,1.26,1.69,1667,198,436474,20847,6,8777,1584,10
NMBR 9,2017,Cleverly stack number-shaped polyominos higher and higher without leaving any gaps.,964,1,4,20,20,6.89,6693,1.23,1.22,1154,114,235920,55855,48,9023,1146,8
Reavers of Midgard,2019,Recruit Reavers; battle; and raid to become the most glorious viking clan.,965,2,4,60,120,7.425,2417,1.34,2.91,557,261,279597,5470,1,5428,1025,14
Via Nebula,2016,Clear clouds from a meadow of riches to be the first to build out your settlement.,966,2,4,45,60,7.044,4245,1.14,2.22,822,124,345649,11439,4,5890,1229,12
Thunderstone: Dragonspire,2011,Adventurers defeat new foes; and try to reclaim a Thunderstone from its guardian.,967,1,5,45,45,7.33,2685,1.47,2.7,530,175,226437,5161,0,4381,463,12
Foundations of Rome,2022,Construct buildings; vie for city lots; and compete to shape the city of Rome.,968,2,4,60,90,8.139,1357,1.34,1.95,416,284,248744,4656,57,2727,1113,13
Smash Up: Monster Smash,2014,Classic monsters invade Smash Up.,969,2,2,30,45,7.276,3079,1.32,2.25,433,89,92715,1874,0,10065,575,12
Container: 10th Anniversary Jumbo Edition!,2018,Build it; store it; sell it; transport it and hopefully you'll make money!,970,3,5,75,90,7.675,1758,1.45,2.96,451,138,296345,3902,8,2819,1230,13
Orchard: A 9 card solitaire game,2018,Create the most fruitful micro orchard; but beware of rotten fruit!,971,1,1,5,10,7.423,2397,1.14,1.18,644,233,221322,43051,74,5275,790,8
Shikoku 1889,2004,1830 goes to Japan in this financial death match.,972,2,6,90,210,7.97,1373,1.23,3.92,554,126,305597,6731,6,1190,709,14
Tide of Iron,2007,Simulate tactical combat between America and Germany on the Western front (‘44 – ‘45),973,2,4,120,120,7.204,3805,1.49,3.46,1193,396,991079,5733,0,6126,936,12
Loony Quest,2015,Draw a line from fire to dynamite and defeat a boss. Look at him; but draw elsewhere.,974,2,5,20,30,6.909,6074,1.13,1.2,952,93,219442,18705,0,9515,863,8
Tales & Games: The Hare & the Tortoise,2011,Every animal moves at its own pace; so you never know if your bets will pay off.,975,2,5,15,20,7.089,3936,1.15,1.38,806,117,194391,17553,5,6590,883,7
Paper Tales,2017,Fight for dominance across four rounds. Long enough for generations to grow and die.,976,2,5,30,30,7.049,4240,1.29,2.11,759,149,332825,13949,8,6404,1674,12
Wilderness War,2001,Card-driven; point-to-point; 18th century fight for North American dominance.,977,2,2,180,180,7.717,1781,1.32,3.29,787,178,455855,2476,2,4102,697,12
The Big Book of Madness,2015,Work together with your classmates to magically dispel demons and save your school!,978,2,5,60,90,6.926,6286,1.32,2.69,1263,281,520454,14260,4,10932,1692,12
When I Dream,2016,Help the Dreamer refine their visions or bring them to a nightmare.,979,4,10,20,40,7.012,4856,1.3,1.19,847,145,307001,11898,4,8719,1485,8
Zendo,2001,Players build structures to try to figure out the moderator's secret rule!,980,3,5,60,60,7.231,2985,1.63,2.53,1000,141,304556,16642,3,3242,1322,8
The Lord of the Rings,2000,Cooperatively play cards; progress across adventure boards; and destroy the One Ring.,981,2,5,60,90,6.743,15076,1.47,2.56,4461,550,1265565,26339,1,25106,1198,12
Archaeology: The New Expedition,2016,Collect and sell treasure for profit! But get too greedy and you might lose it all...,982,2,5,20,20,7.145,3518,1.17,1.29,766,136,238696,14894,6,5702,1588,10
Netrunner,1996,Corps and Runners race for agendas while building up nodes and rigs.,983,2,2,45,45,7.442,2399,1.6,2.93,814,202,398756,4982,0,3321,354,10
BattleCON: War of Indines,2010,Combine a shared moveset with characters' unique style in this card battler.,984,2,4,15,60,7.69,1864,1.6,2.76,518,270,374001,5808,0,3651,504,9
Metropolys,2008,Use your buildings to bid on the best plots; collect prizes; & score secret goals.,985,2,4,30,60,7.029,4136,1.2,2.21,1180,97,303697,11615,0,3952,880,8
Unlock!: Epic Adventures,2019,,986,1,6,60,60,7.793,1560,1.26,2.15,290,28,60172,5349,6,3749,387,10
Vinci,1999,Control one civilization after another to expand quickly throughout the land.,987,3,6,120,120,7.074,4007,1.35,2.78,1346,82,384665,6505,0,3792,542,14
Stronghold,2009,Humans hold a stronghold against orc; goblin and troll invaders.,988,2,4,120,120,7.142,3440,1.44,3.67,987,339,928753,5300,0,5115,1718,10
The Reckoners,2018,Operatives work together to assassinate supervillains in a post-apocalyptic world.,989,1,6,60,100,7.743,1787,1.34,2.7,415,427,248087,5477,5,3224,1325,13
Era: Medieval Age,2019,3D Roll and Build; create your empire; avoid disasters and extort enemies!,990,1,4,45,60,7.235,3103,1.29,2.33,560,207,411482,10408,4,5300,1631,8
Fauna,2008,Being close is what counts in this game about animal characteristics.,991,2,6,45,60,7.026,4294,1.25,1.48,832,97,268859,14293,5,5056,888,8
Terror in Meeple City,2013,Smash! Stomp! Chomp! Your monster can destroy it all with the flick of a finger.,992,2,4,45,45,6.842,7358,1.27,1.48,1852,293,447477,17692,1,11480,1583,8
Batman: Gotham City Chronicles,2019,Become the Overlord or play as Batman and his allies in this action-packed game!,993,2,4,60,90,7.672,2423,1.78,3.73,659,762,1027448,6473,0,5898,1098,14
Galaxy Trucker,2021,Have fun watching fellow players' ships explode as you fly on to victory.,994,2,4,20,30,7.65,1812,1.21,2.4,301,126,171600,6533,31,5163,1192,8
Little Town,2017,,995,2,4,30,60,7.245,3029,1.13,1.93,505,129,271544,10468,8,5427,932,10
Axis & Allies Anniversary Edition,2008,Will history repeat itself; or will you change the outcome?,996,2,6,360,360,7.429,2824,1.74,3.09,670,305,740244,2693,0,4510,851,12
Ecos: First Continent,2019,Collaboratively shape a growing continent of flora; fauna; and geological features.,997,2,6,45,75,7.175,3283,1.36,2.61,674,175,305558,9468,7,4882,1711,14
Tiny Epic Dinosaurs,2020,Become dino ranchers in the lucrative dinosaur farming industry.,998,1,4,30,60,7.387,2435,1.17,2.59,545,598,209366,5970,9,7642,848,14
Linko!,2014,Play your cards right to empty your hand and capture valuable points in the process!,999,2,5,20,20,6.994,4530,1.21,1.4,940,107,214678,35905,17,7137,619,10
Smash Up,2012,Combine disparate groups to earn victory points and change the rules in the process.,"1,000",2,4,45,45,6.723,25483,1.5,2.06,4267,1419,1269961,67867,9,42089,2330,12
Mr. Jack in New York,2009,Jack has fled to NYC and changed identity. Can you catch him on a new ground?,"1,001",2,2,30,30,7.199,3216,1.28,2.54,686,111,247354,8257,0,4923,1005,14
Libertalia: Winds of Galecrest,2022,Diverse pirate-animal crews take to the skies; dividing up powerful loot.,"1,002",1,6,45,60,7.596,1936,1.46,2.11,371,231,290857,6529,83,4641,1746,14
China,2005,Use houses and emissaries to gain dominance over the different regions of China!,"1,003",3,5,45,45,6.986,4422,1.18,2.29,1611,75,312911,11710,0,4488,575,12
Dinosaur World,2021,Delight visitors in a park populated by homegrown dinos. Safety waivers recommended!,"1,004",2,4,60,120,7.513,2154,1.32,3.24,575,319,376709,4364,9,6350,1571,10
Rallyman: GT,2020,Push your car and your luck to the limits in a daring race.,"1,005",1,6,45,60,7.293,2998,1.57,2.22,592,331,485977,25734,87,4291,1159,14
Ghost Fightin' Treasure Hunters,2013,Team up to swipe all the gems from an eerie mansion before a haunting takes over.,"1,006",2,4,30,30,7.139,3480,1.21,1.62,877,177,345766,14813,12,7466,1216,8
Dream Home,2016,Build and furnish your dream home in this family friendly game.,"1,007",2,4,30,30,6.891,6468,1.17,1.68,1122,203,348752,27090,8,9828,1211,7
Hardback,2018,Combine literary genres to assemble a masterpiece collection of letters.,"1,008",1,5,45,90,7.216,2950,1.29,2.13,767,130,185865,12856,10,5912,1076,10
Quarriors!,2011,Use dice to capture; summon and battle with creatures to become the Champion!,"1,009",2,4,30,30,6.745,13517,1.43,1.97,2903,905,890934,54928,9,17596,1812,14
Two Rooms and a Boom,2013,Help the president or hunt him down in this social deduction game for 6-30 players.,"1,010",6,30,7,20,6.983,4784,1.66,1.42,1125,489,635615,20097,14,7795,2052,8
