title,year,description,rank,min_player,max_player,min_time,max_time,avg_rating,num_rating,std_dev_rating,weight,num_comment,num_fan,num_view,total_play,month_play,num_own,num_wish,min_age
Charterstone,2017,Witness your city flourish and the board change forever as you play.,409,1,6,45,75,7.28,13426,1.67,2.84,2581,1063,1549233,82757,32,24440,4921,14
Heroscape Master Set: Rise of the Valkyrie,2004,Distant worlds collide through time and space to battle on 3D landscapes of Valhalla.,410,2,4,90,90,7.436,8015,1.56,2.29,2971,572,1228568,27684,3,12658,979,8
Quadropolis,2016,Send out your architects. Plan carefully as you build a bustling metropolis.,411,2,4,30,60,7.255,12148,1.1,2.21,1896,347,664599,37100,15,16950,2810,8
Pandemic: Reign of Cthulhu,2016,Close portals; shut down cultists; and stave off insanity before an Old One awakens.,412,2,4,40,40,7.386,9108,1.25,2.16,1434,602,681248,20946,6,16745,2464,14
Blood Bowl: Living Rulebook,2004,,413,2,2,120,120,7.85,3400,1.72,3.17,612,343,269781,14859,0,3083,352,12
Kemet: Blood and Sand,2021,Play as warring Egyptian Gods and build the most powerful army to dominate Egypt.,414,2,5,90,120,8.129,2547,1.29,3.17,572,439,592680,3911,8,6254,2238,13
Lord of the Rings: The Confrontation,2005,Get Frodo to Mordor Stratego-style before shadow overtakes him.,415,2,2,30,30,7.479,5993,1.34,2.2,1530,234,487151,19521,2,7396,1482,14
PitchCar,1995,Flick disks around a wooden race track that you can customize out of the box!,416,2,8,30,30,7.268,10296,1.35,1.13,2675,262,689506,49955,13,11022,3349,6
Amerigo,2013,Discover islands; build settlements; and uncover goods and treasure.,417,2,4,90,90,7.459,5849,1.23,2.98,1344,249,523934,14813,5,7543,1448,10
Raiders of Scythia,2020,Raid and plunder your way through ancient empires on horseback.,418,1,4,60,80,7.863,3380,1.2,2.69,614,326,453203,8451,15,6966,2232,12
Risk Legacy,2011,Build your forces; dominate the world and deal with new challenges after every game.,419,3,5,60,60,7.398,8028,1.64,2.59,1732,716,1098740,26463,10,14254,2669,13
Pandemic: The Cure,2014,Roll dice to defeat four diseases threatening the world.,420,2,5,30,30,7.276,10071,1.23,2.06,1831,378,548508,50740,16,15774,2487,8
Skull King,2013,Trick-taking on the high seas. Meet your bid to please the Skull King.,421,2,8,30,30,7.465,6156,1.32,1.68,1002,215,316725,40529,106,12286,1187,8
BattleLore,2006,Battle through a Hundred Years War with magic; Goblins; and more.,422,2,2,60,60,7.358,9217,1.42,2.77,2858,591,1525025,26236,0,10994,1651,10
Commands & Colors: Napoleonics,2010,Command Colourful Napoleonics.,423,2,2,90,90,8.012,2884,1.42,2.73,846,455,914502,13050,0,5212,1169,14
Mystic Vale,2016,Restore growth and harmony to the cursed Valley of Life through card crafting.,424,2,4,45,45,7.278,10467,1.33,2.25,1950,423,706249,53434,37,15249,2453,14
Sheriff of Nottingham,2014,Sell goods for profit; or risk losing it all by slipping contrabands in....,425,3,5,60,60,7.109,32653,1.3,1.65,4969,996,1318000,60517,24,49161,6151,14
